FIPS,County,countyname,County,fatalcounts,population2019,RuralProp,Rural,Urban,UninsuredProp,HighSchool,SomeCollege,Unempoyment,ViolentCrime,AAprop,MentalHealthDays,Smoking_Rate,AgeAbove65,AgeBelow18,Female_Prop,lat,lon
37049,Craven,craven,Craven County,3,102139,0.277088063,0,1,0.119069337,0.862,0.65674548,0.047413072,249.1082506,0.209694087,4.119099994,0.173123402,0.184513249,0.220095927,0.494180039,35.116829,-77.081322
37051,Cumberland,cumberland,Cumberland County,17,335509,0.133681452,0,1,0.108270273,0.82,0.718712067,0.057508012,548.4166557,0.367419846,4.287435659,0.178272067,0.117616811,0.246546343,0.502080915,35.050194,-78.82872
37053,Currituck,currituck,Currituck County,1,27763,0.983140103,1,0,0.117425114,0.867,0.672156197,0.044636808,171.1885662,0.055106149,3.861919813,0.173069316,0.158140595,0.224374312,0.505487828,36.372173,-75.941223
37055,Dare,dare,Dare County,9,37009,0.28959316,0,1,0.128792115,0.914,0.663089867,0.059517905,246.6056691,0.024654423,3.730663544,0.164476205,0.206432311,0.190974819,0.506108202,35.60627,-75.767532
37057,Davidson,davidson,Davidson County,2,167609,0.473845455,0,1,0.130232558,0.871105602,0.581704396,0.043470124,180.9130609,0.09435171,4.277377947,0.18201583,0.178804105,0.221858267,0.510902542,35.795132,-80.207108
37059,Davie,davie,Davie County,4,42846,0.702885548,1,0,0.122994016,0.873,0.60511458,0.040432858,148.2715944,0.061993593,3.827427046,0.160562659,0.20428208,0.213632938,0.51253062,35.929356,-80.542549
37061,Duplin,duplin,Duplin County,5,58741,0.864644048,1,0,0.200804963,0.813,0.425923296,0.04930018,235.791045,0.242246651,4.706920504,0.222256415,0.178204238,0.241907891,0.511424652,34.934402,-77.93354
37063,Durham,durham,Durham County,5,321488,0.056277024,0,1,0.128238669,0.815,0.74291007,0.040762315,665.9315619,0.365607753,3.988586898,0.159347363,0.126520986,0.21174432,0.522176229,36.033829,-78.878128
37065,Edgecombe,edgecombe,Edgecombe County,2,51472,0.453069741,0,1,0.119851594,0.773,0.48364025,0.077851075,481.0210983,0.57290462,4.575648339,0.217914284,0.188920697,0.229529642,0.536864656,35.917076,-77.602745
37067,Forsyth,forsyth,Forsyth County,5,382295,0.073465081,0,1,0.124489562,0.844,0.672341889,0.044286071,575.5725543,0.257079082,4.165347432,0.184179272,0.155545812,0.232113627,0.524617347,36.132465,-80.256958
37069,Franklin,franklin,Franklin County,3,69685,0.853181346,1,0,0.130678472,0.86,0.590882713,0.046676848,142.4400532,0.254443235,4.379324622,0.187286842,0.163538266,0.222917422,0.503687583,36.088242,-78.283089
37071,Gaston,gaston,Gaston County,5,224529,0.196476228,0,1,0.114589493,0.856,0.607686412,0.046192202,389.6972696,0.165753786,4.114228738,0.180732213,0.15819186,0.227588995,0.517449201,35.293343,-81.177254
37073,Gates,gates,Gates County,15,11562,1,1,0,0.113428664,0.93,0.570448123,0.045237641,267.9519706,0.31453569,3.827280997,0.170701259,0.198891199,0.204348579,0.509268884,36.442135,-76.702354
37075,Graham,graham,Graham County,15,8441,1,1,0,0.167353795,0.854,0.55695478,0.068095839,291.817439,0.00456621,4.426757614,0.19363969,0.232876712,0.206650275,0.500175624,35.348366,-83.830917
37077,Granville,granville,Granville County,3,60443,0.547499833,1,0,0.117740359,0.813,0.592574081,0.038683045,292.9155313,0.315328173,3.987563191,0.181168,0.167117215,0.20410699,0.488691506,36.299885,-78.657631
37079,Greene,greene,Greene County,1,21069,1,1,0,0.182144489,0.949,0.46596324,0.045108071,176.608362,0.355841066,4.318344974,0.204400501,0.159933381,0.204472996,0.454104211,35.48196,-77.681686
37081,Guilford,guilford,Guilford County,22,537174,0.126943567,0,1,0.113900985,0.894,0.699287136,0.048208604,452.6394471,0.338367938,3.863193244,0.188994932,0.148371866,0.224238215,0.525914076,36.079063,-79.788666
37083,Halifax,halifax,Halifax County,5,50010,0.547055274,1,0,0.136895865,0.754734767,0.465678627,0.073769302,461.3689574,0.529487429,4.724911946,0.224317981,0.201130384,0.213096862,0.519099591,36.251438,-77.644844
37085,Harnett,harnett,Harnett County,4,135976,0.559209264,1,0,0.12546778,0.862,0.637356215,0.051450309,242.5290592,0.207421245,4.470436219,0.187703164,0.121322145,0.264218027,0.503962216,35.368633,-78.871613
37087,Haywood,haywood,Haywood County,17,62317,0.55440748,1,0,0.114271337,0.853,0.633282443,0.040902826,277.5169006,0.012343658,4.206152614,0.17368251,0.244368411,0.18317399,0.518220811,35.558884,-82.981308
37089,Henderson,henderson,Henderson County,2,117417,0.33270564,0,1,0.142053942,0.914,0.664856638,0.038590037,120.845652,0.032305459,3.809717785,0.152035636,0.253249559,0.192156117,0.520188751,35.336414,-82.479744
37091,Hertford,hertford,Hertford County,17,23677,0.686367506,1,0,0.116794295,0.855,0.51805706,0.058221024,303.9772123,0.600309546,4.268797662,0.210909184,0.191876516,0.191792855,0.507738643,36.363518,-76.981613
37093,Hoke,hoke,Hoke County,2,55234,0.431504515,0,1,0.162190083,0.817,0.626018166,0.05785456,123.9417283,0.331103555,4.33205627,0.227849038,0.094981152,0.276480154,0.506726292,35.017235,-79.241966
37095,Hyde,hyde,Hyde County,22,4937,1,1,0,0.142932629,0.909,0.530597552,0.08529689,267.9519706,0.286033936,4.106968302,0.202753796,0.197277643,0.168002983,0.44937535,35.408157,-76.153687
37097,Iredell,iredell,Iredell County,4,181806,0.379121534,0,1,0.120980699,0.892920839,0.659014292,0.042548795,254.1149463,0.117431464,3.84681368,0.167345968,0.155135421,0.232842565,0.507287535,35.806252,-80.874527
37099,Jackson,jackson,Jackson County,3,43938,0.730898165,1,0,0.17590915,0.92,0.67293441,0.048411737,214.2727438,0.020989924,4.406954035,0.19508888,0.191236358,0.17113071,0.50848207,35.285454,-83.123962
37101,Johnston,johnston,Johnston County,8,209339,0.520369734,1,0,0.129315924,0.918,0.619500667,0.041727399,184.8516712,0.155448685,3.961613723,0.178056111,0.130253981,0.257096814,0.509730158,35.51342,-78.367348
37103,Jones,jones,Jones County,21,9419,1,1,0,0.138383298,0.975,0.571553995,0.044918835,267.9519706,0.298843389,4.296243318,0.193356596,0.216942795,0.188496405,0.511305616,35.032269,-77.356194
37105,Lee,lee,Lee County,2,61779,0.427643176,0,1,0.146524823,0.89,0.596433378,0.051503435,180.8015536,0.192751944,4.017437819,0.189408518,0.159109714,0.242545094,0.51141817,35.476337,-79.172119
37107,Lenoir,lenoir,Lenoir County,3,55949,0.450054626,0,1,0.139739998,0.846,0.514311885,0.045580602,752.8122046,0.405586907,4.466703624,0.207670001,0.193607932,0.223458678,0.520999244,35.240067,-77.635513
37109,Lincoln,lincoln,Lincoln County,6,86111,0.545531208,1,0,0.11081053,0.899,0.583380881,0.040324872,153.2481817,0.054609662,3.923266052,0.176096875,0.174568887,0.213293205,0.503755931,35.488491,-81.226891
37111,McDowell,mcdowell,McDowell County,2,45756,0.703018046,1,0,0.137035885,0.852,0.574946764,0.041531411,157.6231786,0.034810337,4.615742947,0.210977839,0.200801612,0.205451848,0.501118271,35.68227,-82.048042
37113,Macon,macon,Macon County,3,35858,0.80010023,1,0,0.166316809,0.912,0.553271569,0.047187171,110.0255259,0.012495681,4.199903347,0.168670298,0.281527122,0.189076356,0.514021652,35.152958,-83.421898
